requirements_id,experience_years,education_level,skills_required
req09638,None,MSc,"Leadership, Excel, Communication, SQL"
req09639,None,MSc,"SQL, Python, Spark, R, Excel"
req09640,1 year,B.Sc.,"Leadership, Tableau, PowerBI, Hadoop"
req09641,at least 2,None,"Python, Spark, R, PowerBI"
req09642,at least 2,BS,"Scala, Excel, Communication, Hadoop, SQL"
req09643,1 year,PhD,"Excel, Python, PowerBI"
req09644,2+,BS,"Scala, Hadoop"
req09645,2+,None,"R, Hadoop, Tableau, PowerBI"
req09646,1 year,BS,"PowerBI, Communication, Tableau"
req09647,at least 2,MSc,"Leadership, SQL, Scala, Tableau"
req09648,3-5 yrs,Bachelor's,"Scala, Excel, SQL, Python, PowerBI"
req09649,1 year,Bachelor's,"Scala, Spark, Hadoop"
req09650,None,B.Sc.,"Hadoop, Scala, Spark, Communication, Leadership"
req09651,1 year,MSc,"Hadoop, R, PowerBI, Python, Tableau"
req09652,1 year,B.Sc.,"Tableau, Communication, PowerBI, Hadoop, R"
req09653,3-5 yrs,Bachelor's,"Scala, Leadership, Python, Hadoop"
req09654,2+,MSc,"R, Spark, Tableau, Leadership"
req09655,3-5 yrs,B.Sc.,"SQL, Leadership, Hadoop, R"
req09656,2+,MSc,"Tableau, Scala, Communication"
req09657,1 year,PhD,"Scala, Communication, Tableau"
req09658,at least 2,Bachelor's,"PowerBI, SQL, Scala, Leadership"
req09659,2+,None,"R, Excel, Python, SQL, PowerBI"
req09660,2+,BS,"Spark, Excel, Scala"
req09661,None,None,"Hadoop, Spark"
req09662,at least 2,MSc,"Python, Tableau, Communication, Hadoop"
req09663,3-5 yrs,BS,"Excel, Python"
req09664,2+,B.Sc.,"Leadership, Excel, R"
req09665,2+,Bachelor's,"Communication, Leadership, Tableau"
req09666,1 year,MSc,"Leadership, Scala"
req09667,1 year,BS,"Hadoop, SQL, Scala, Leadership, R"
req09668,None,B.Sc.,"PowerBI, SQL, Excel, Hadoop"
req09669,None,BS,"Tableau, Communication, PowerBI, Spark, SQL"
req09670,at least 2,BS,"PowerBI, Python"
req09671,3-5 yrs,MSc,"Spark, Tableau, Communication, R"
req09672,3-5 yrs,PhD,"PowerBI, Python, R"
req09673,at least 2,None,"Leadership, Communication, Tableau"
req09674,1 year,BS,"R, Excel, PowerBI"
req09675,2+,None,"Leadership, SQL"
req09676,2+,B.Sc.,"PowerBI, R, Python, Tableau, SQL"
req09677,3-5 yrs,MSc,"Communication, Hadoop, Spark, Tableau, Leadership"
req09678,1 year,PhD,"Leadership, Python, SQL, Communication, Scala"
req09679,None,None,"Hadoop, SQL, Excel, R"
req09680,1 year,PhD,"Hadoop, Communication, Tableau, Python"
req09681,2+,None,"Leadership, Excel, Hadoop, Python"
req09682,None,Bachelor's,"Hadoop, PowerBI, R"
req09683,1 year,B.Sc.,"Python, Tableau, Communication"
req09684,at least 2,None,"R, Tableau"
req09685,None,PhD,"Excel, Scala, Spark, Python, R"
req09686,at least 2,MSc,"Python, PowerBI, Scala, Excel, Leadership"
req09687,1 year,Bachelor's,"PowerBI, Excel, Spark"
req09688,at least 2,MSc,"Hadoop, Tableau, PowerBI"
req09689,2+,Bachelor's,"Scala, Communication, SQL, R, Python"
req09690,3-5 yrs,BS,"Hadoop, Spark, Python, Communication, Leadership"
req09691,2+,MSc,"PowerBI, Tableau, Hadoop"
req09692,at least 2,MSc,"Leadership, Excel, SQL, Scala"
req09693,1 year,Bachelor's,"Excel, PowerBI"
req09694,2+,BS,"Excel, SQL, Spark"
req09695,None,PhD,"PowerBI, Scala, Tableau, SQL, Excel"
req09696,1 year,PhD,"Hadoop, Python"
req09697,None,Bachelor's,"SQL, Communication, Excel, Hadoop, Scala"
req09698,3-5 yrs,MSc,"Python, Scala, SQL, PowerBI, Excel"
req09699,None,None,"R, Leadership, SQL, Tableau"
req09700,at least 2,MSc,"Excel, R"
req09701,None,None,"Python, Hadoop, PowerBI, Excel, R"
req09702,at least 2,PhD,"Spark, SQL"
req09703,at least 2,Bachelor's,"Excel, SQL, Spark, PowerBI"
req09704,at least 2,MSc,"R, Spark, Hadoop, Communication, Scala"
req09705,at least 2,B.Sc.,"SQL, R, Python, Hadoop"
req09706,1 year,None,"Tableau, Leadership, PowerBI"
req09707,1 year,B.Sc.,"Tableau, Spark, Python"
req09708,1 year,Bachelor's,"Leadership, Python, SQL, R"
req09709,None,MSc,"Tableau, R, Python, Communication"
req09710,1 year,PhD,"Tableau, SQL, Excel"
req09711,None,PhD,"Leadership, Scala, SQL, Communication"
req09712,2+,None,"Scala, Excel"
req09713,2+,Bachelor's,"Spark, Tableau, Python, Excel, SQL"
req09714,2+,PhD,"Leadership, SQL, Communication, Excel, Hadoop"
req09715,1 year,BS,"PowerBI, Spark, Python, Communication, Leadership"
req09716,at least 2,B.Sc.,"Excel, Spark, SQL, Communication, Hadoop"
req09717,at least 2,PhD,"Leadership, Tableau, Scala, SQL"
req09718,2+,Bachelor's,"Excel, SQL, PowerBI, Tableau"
req09719,3-5 yrs,PhD,"Communication, Leadership, SQL"
req09720,at least 2,BS,"PowerBI, Scala, Communication, Excel"
req09721,2+,Bachelor's,"PowerBI, SQL, Spark, Leadership"
req09722,1 year,PhD,"Communication, R, PowerBI, SQL, Leadership"
req09723,at least 2,PhD,"Leadership, Tableau"
req09724,None,PhD,"SQL, Tableau, Communication, R"
req09725,3-5 yrs,PhD,"Python, Leadership, Communication, Hadoop, Excel"
req09726,at least 2,BS,"R, SQL"
req09727,2+,MSc,"Scala, Communication, Tableau"
req09728,None,B.Sc.,"Communication, PowerBI"
req09729,3-5 yrs,B.Sc.,"Python, Scala, SQL, Tableau, Leadership"
req09730,None,Bachelor's,"R, Tableau, Communication, Excel, Scala"
req09731,1 year,BS,"Tableau, Python, Scala"
req09732,at least 2,Bachelor's,"Communication, Python"
req09733,None,B.Sc.,"R, Python"
req09734,1 year,B.Sc.,"Communication, SQL, Leadership, Scala"
req09735,3-5 yrs,B.Sc.,"Excel, SQL, Hadoop, PowerBI, Spark"
req09736,None,MSc,"Tableau, Spark, Hadoop, R, SQL"
req09737,2+,MSc,"R, Python"
req09738,1 year,Bachelor's,"Python, Excel"
req09739,None,B.Sc.,"Leadership, Excel, Communication, Spark"
req09740,1 year,B.Sc.,"Tableau, Spark, R, SQL, Excel"
req09741,1 year,PhD,"Communication, Excel"
req09742,1 year,PhD,"R, SQL"
req09743,2+,B.Sc.,"Hadoop, Communication, Excel, PowerBI, Spark"
req09744,at least 2,MSc,"PowerBI, R"
req09745,at least 2,Bachelor's,"Hadoop, Spark, Communication"
req09746,at least 2,MSc,"Tableau, R"
req09747,3-5 yrs,B.Sc.,"Scala, Hadoop, Spark, PowerBI"
req09748,None,Bachelor's,"Hadoop, SQL, Python"
req09749,1 year,MSc,"SQL, R, Hadoop"
req09750,None,B.Sc.,"PowerBI, Hadoop, Scala"
req09751,2+,Bachelor's,"Tableau, Spark, Excel, Leadership, SQL"
req09752,at least 2,B.Sc.,"Communication, Python, Tableau, Leadership"
req09753,2+,PhD,"Python, SQL, Excel"
req09754,2+,Bachelor's,"Tableau, Python"
req09755,at least 2,MSc,"Hadoop, Excel, PowerBI"
req09756,at least 2,MSc,"SQL, Leadership"
req09757,None,PhD,"Python, Spark, SQL, PowerBI"
req09758,None,None,"Python, Communication"
req09759,at least 2,B.Sc.,"PowerBI, Tableau, R"
req09760,None,BS,"R, SQL"
req09761,2+,BS,"Spark, Leadership"
req09762,1 year,BS,"Python, Spark, R"
req09763,3-5 yrs,MSc,"Tableau, Leadership"
req09764,None,PhD,"Python, Hadoop"
req09765,None,B.Sc.,"Spark, Leadership, Hadoop, Excel"
req09766,2+,Bachelor's,"R, PowerBI, Leadership"
req09767,at least 2,Bachelor's,"R, Tableau, PowerBI, Excel"
req09768,3-5 yrs,Bachelor's,"Spark, Tableau"
req09769,at least 2,B.Sc.,"Leadership, PowerBI, Communication"
req09770,3-5 yrs,Bachelor's,"Hadoop, Communication"
req09771,None,Bachelor's,"PowerBI, Hadoop, Communication, Scala, Tableau"
req09772,3-5 yrs,B.Sc.,"Leadership, Scala, Hadoop"
req09773,None,BS,"Spark, Tableau, SQL, Hadoop"
req09774,at least 2,None,"Hadoop, Scala, Python, Spark"
req09775,None,Bachelor's,"Spark, PowerBI"
req09776,3-5 yrs,B.Sc.,"Scala, R, Excel, SQL, Tableau"
req09777,None,PhD,"Tableau, Excel, R, Scala, Communication"
req09778,at least 2,Bachelor's,"Scala, Leadership, Spark"
req09779,2+,None,"Hadoop, Communication"
req09780,2+,B.Sc.,"Scala, Excel, Hadoop"
req09781,3-5 yrs,None,"Communication, Python"
req09782,at least 2,B.Sc.,"Hadoop, Scala, Tableau, Python, SQL"
req09783,3-5 yrs,Bachelor's,"Scala, Leadership, Python, PowerBI"
req09784,3-5 yrs,BS,"SQL, Leadership, Communication, R, Scala"
req09785,2+,BS,"SQL, Leadership"
req09786,2+,PhD,"Leadership, Python, Spark, Tableau, Excel"
req09787,None,None,"Hadoop, Tableau, Excel, Leadership, PowerBI"
req09788,at least 2,B.Sc.,"Hadoop, Excel, Python, Scala, Tableau"
req09789,2+,BS,"Hadoop, R"
req09790,2+,MSc,"Leadership, Hadoop, Spark, Scala, Tableau"
req09791,3-5 yrs,Bachelor's,"Communication, Python, Scala, SQL, R"
req09792,1 year,PhD,"Communication, Spark, Leadership, R"
req09793,3-5 yrs,BS,"Hadoop, Scala, Excel, SQL, Spark"
req09794,2+,B.Sc.,"Communication, R, Excel, Tableau"
req09795,None,Bachelor's,"Leadership, Scala, Communication, SQL, R"
req09796,2+,Bachelor's,"Hadoop, R"
req09797,None,Bachelor's,"Leadership, Scala"
req09798,None,PhD,"Hadoop, Excel, R, SQL"
req09799,1 year,B.Sc.,"SQL, Tableau, Python, PowerBI"
req09800,1 year,PhD,"Scala, Communication, Python, Spark"
req09801,None,B.Sc.,"SQL, Leadership"
req09802,at least 2,PhD,"Hadoop, SQL, Tableau, Python"
req09803,None,MSc,"PowerBI, Excel, Tableau, Python"
req09804,at least 2,Bachelor's,"PowerBI, R"
req09805,2+,PhD,"R, Hadoop"
req09806,1 year,BS,"Hadoop, Spark"
req09807,1 year,MSc,"R, Spark"
req09808,2+,Bachelor's,"Python, Leadership, SQL, Hadoop"
req09809,at least 2,BS,"Communication, R"
req09810,3-5 yrs,Bachelor's,"Spark, R, SQL, Communication"
req09811,None,B.Sc.,"Hadoop, R"
req09812,at least 2,Bachelor's,"Communication, Tableau, Python, Hadoop, PowerBI"
req09813,3-5 yrs,Bachelor's,"Tableau, Communication, SQL, Excel, Scala"
req09814,None,Bachelor's,"Tableau, Scala, PowerBI, R"
req09815,None,B.Sc.,"Spark, SQL, Tableau"
req09816,at least 2,PhD,"Scala, SQL, Hadoop"
req09817,2+,None,"R, Python"
req09818,1 year,MSc,"Leadership, Python"
req09819,at least 2,None,"Hadoop, Spark, Leadership, Excel"
req09820,at least 2,PhD,"Spark, Excel, Scala, Communication, Python"
req09821,None,MSc,"PowerBI, SQL, Tableau, R"
req09822,at least 2,B.Sc.,"SQL, Tableau, Python, Communication"
req09823,2+,B.Sc.,"Tableau, R, Spark"
req09824,2+,BS,"Hadoop, Scala, Python"
req09825,None,MSc,"Leadership, Hadoop, R"
req09826,3-5 yrs,None,"Excel, R, Scala, Tableau, Communication"
req09827,2+,MSc,"R, PowerBI"
req09828,None,None,"Excel, PowerBI, Scala"
req09829,1 year,None,"Excel, Spark, Python"
req09830,None,B.Sc.,"Communication, Spark, Hadoop, Scala, Tableau"
req09831,2+,PhD,"Hadoop, PowerBI, R, Spark"
req09832,at least 2,None,"Communication, Spark, Scala, Python, Tableau"
req09833,None,BS,"Communication, Spark"
req09834,3-5 yrs,PhD,"Excel, Scala, Leadership, PowerBI"
req09835,3-5 yrs,PhD,"Python, SQL, Tableau, Leadership"
req09836,None,Bachelor's,"Excel, Hadoop, Tableau, Leadership"
req09837,1 year,BS,"Communication, Tableau"
req09838,1 year,MSc,"Tableau, Hadoop, Scala, Spark"
req09839,1 year,BS,"R, Tableau"
req09840,1 year,BS,"Python, Communication, Tableau, SQL"
req09841,2+,MSc,"Spark, Leadership, Communication, Excel"
req09842,None,BS,"R, Leadership, PowerBI"
req09843,1 year,PhD,"Tableau, Leadership, Communication, Hadoop"
req09844,1 year,PhD,"SQL, Hadoop"
req09845,2+,None,"Scala, Python, Hadoop"
req09846,1 year,PhD,"Excel, Scala, Hadoop"
req09847,None,None,"Python, Tableau, R, Leadership"
req09848,2+,BS,"SQL, Spark, Python"
req09849,3-5 yrs,None,"Leadership, Scala, Tableau, Spark, Communication"
req09850,3-5 yrs,B.Sc.,"PowerBI, Spark, Scala, Tableau"
req09851,at least 2,Bachelor's,"Python, Hadoop"
req09852,2+,BS,"Excel, Hadoop"
req09853,2+,BS,"Python, R, Spark, Excel, SQL"
req09854,1 year,None,"Communication, Spark, Tableau, Scala, Excel"
req09855,2+,MSc,"PowerBI, Excel, Leadership, Communication"
req09856,None,PhD,"Tableau, Excel, Hadoop, R, SQL"
req09857,at least 2,B.Sc.,"Spark, Excel, Tableau, Leadership"
req09858,2+,B.Sc.,"PowerBI, Communication, Leadership, Excel"
req09859,None,PhD,"Python, Tableau, R"
req09860,None,BS,"Hadoop, SQL"
req09861,3-5 yrs,BS,"Python, PowerBI, Spark"
req09862,None,PhD,"Spark, R, Excel"
req09863,None,None,"Leadership, R, Hadoop"
req09864,2+,PhD,"Leadership, Scala, PowerBI, Spark"
req09865,at least 2,BS,"Python, Scala, SQL, Leadership, PowerBI"
req09866,3-5 yrs,BS,"Scala, Hadoop, Excel, PowerBI"
req09867,1 year,B.Sc.,"Scala, Hadoop, R, Excel"
req09868,2+,None,"Hadoop, Excel, Scala, SQL"
req09869,2+,Bachelor's,"Spark, PowerBI, Hadoop, Python"
req09870,None,None,"Excel, Hadoop, Communication"
req09871,2+,MSc,"Tableau, Leadership, Python"
req09872,1 year,BS,"Hadoop, Leadership"
req09873,2+,B.Sc.,"Excel, Spark, R"
req09874,2+,BS,"Tableau, Python"
req09875,None,MSc,"Communication, Python"
req09876,2+,B.Sc.,"Spark, Hadoop"
req09877,None,B.Sc.,"SQL, PowerBI, Scala, R"
req09878,1 year,MSc,"Excel, Leadership, Tableau"
req09879,at least 2,Bachelor's,"Python, Tableau"
req09880,None,PhD,"Leadership, Communication, Python, Hadoop"
req09881,3-5 yrs,B.Sc.,"R, Hadoop, Tableau"
req09882,1 year,BS,"Python, PowerBI, Scala"
req09883,1 year,BS,"Hadoop, SQL, Excel, Communication"
req09884,3-5 yrs,Bachelor's,"Communication, Excel, PowerBI, Tableau"
req09885,1 year,PhD,"Hadoop, Python"
req09886,3-5 yrs,MSc,"SQL, Leadership, R, Tableau"
req09887,at least 2,B.Sc.,"Hadoop, PowerBI, R, Tableau, Spark"
req09888,2+,None,"PowerBI, Excel, Hadoop, Spark, Communication"
req09889,None,B.Sc.,"PowerBI, R, SQL, Hadoop, Excel"
req09890,2+,B.Sc.,"R, Excel, Spark, Python, Tableau"
req09891,3-5 yrs,Bachelor's,"R, PowerBI, SQL"
req09892,1 year,BS,"SQL, Hadoop"
req09893,2+,Bachelor's,"Excel, Tableau, Scala"
req09894,1 year,MSc,"R, Communication, SQL, Leadership"
req09895,2+,B.Sc.,"PowerBI, Communication, R"
req09896,None,None,"Tableau, Communication, Scala, PowerBI, Spark"
req09897,None,Bachelor's,"Excel, Hadoop, Spark"
req09898,3-5 yrs,B.Sc.,"Tableau, PowerBI, R, Scala"
req09899,None,Bachelor's,"SQL, Leadership, Communication"
req09900,2+,MSc,"SQL, Excel"
req09901,1 year,Bachelor's,"Tableau, Leadership, Scala, Spark, Python"
req09902,1 year,B.Sc.,"Scala, Spark"
req09903,2+,None,"SQL, PowerBI, Leadership, Python"
req09904,2+,None,"Communication, Hadoop"
req09905,1 year,BS,"Excel, Tableau"
req09906,2+,None,"R, Excel, Tableau, Leadership"
req09907,3-5 yrs,Bachelor's,"Spark, Communication"
req09908,2+,MSc,"Scala, Excel"
req09909,2+,None,"Leadership, Spark, Communication, Python"
req09910,None,None,"R, Communication"
req09911,None,Bachelor's,"R, Python, Scala"
req09912,None,Bachelor's,"Excel, PowerBI"
req09913,3-5 yrs,BS,"Communication, R, Excel"
req09914,1 year,B.Sc.,"Python, Spark, Communication"
req09915,None,None,"Hadoop, PowerBI"
req09916,2+,PhD,"Spark, Scala, Tableau, Python"
req09917,3-5 yrs,PhD,"Hadoop, PowerBI, Python"
req09918,2+,B.Sc.,"R, Scala, Excel, Tableau"
req09919,2+,B.Sc.,"Excel, PowerBI, Python, R, Hadoop"
req09920,3-5 yrs,PhD,"SQL, Communication, Leadership"
req09921,at least 2,B.Sc.,"Spark, Leadership, Communication, Excel, SQL"
req09922,3-5 yrs,MSc,"Leadership, Spark, R, Python"
req09923,1 year,Bachelor's,"Scala, Python, R"
req09924,None,Bachelor's,"Communication, Hadoop"
req09925,3-5 yrs,B.Sc.,"SQL, Excel"
req09926,None,BS,"R, Hadoop, Excel, Python"
req09927,3-5 yrs,Bachelor's,"Python, Leadership, Hadoop, Communication"
req09928,at least 2,BS,"PowerBI, Spark, Tableau"
req09929,3-5 yrs,MSc,"Python, Hadoop, Spark, Leadership, Communication"
req09930,3-5 yrs,Bachelor's,"SQL, PowerBI, Leadership"
req09931,3-5 yrs,None,"Communication, SQL, Leadership"
req09932,at least 2,Bachelor's,"SQL, Communication, R, Tableau"
req09933,None,MSc,"Tableau, Leadership"
req09934,None,MSc,"Communication, Tableau, Excel, R, Scala"
req09935,1 year,BS,"Hadoop, Spark, Tableau"
req09936,2+,MSc,"Excel, SQL"
req09937,2+,PhD,"Communication, SQL"
req09938,at least 2,Bachelor's,"Tableau, Scala, SQL, Hadoop, Leadership"
req09939,3-5 yrs,MSc,"Leadership, Python, Hadoop"
req09940,3-5 yrs,PhD,"Spark, Excel, R, Leadership, Hadoop"
req09941,3-5 yrs,PhD,"Tableau, Leadership, PowerBI"
req09942,2+,None,"Hadoop, Tableau, Communication, Leadership, SQL"
req09943,1 year,B.Sc.,"Spark, Excel, Communication, Tableau, Hadoop"
req09944,3-5 yrs,Bachelor's,"Tableau, Spark, Hadoop, Python, SQL"
req09945,at least 2,Bachelor's,"Communication, R, Tableau, Hadoop"
req09946,3-5 yrs,BS,"Leadership, Hadoop"
req09947,2+,MSc,"Spark, Communication, Scala, PowerBI, Hadoop"
req09948,3-5 yrs,MSc,"Tableau, Scala"
req09949,at least 2,PhD,"Python, PowerBI, Excel, Leadership, Tableau"
req09950,None,None,"Python, Communication"
req09951,at least 2,PhD,"Python, R, SQL"
req09952,3-5 yrs,BS,"Excel, Tableau"
req09953,at least 2,MSc,"Tableau, Scala, Python, Excel"
req09954,3-5 yrs,B.Sc.,"Hadoop, R, PowerBI, Spark, Leadership"
req09955,2+,None,"Tableau, R, Python"
req09956,2+,Bachelor's,"Excel, PowerBI, R"
req09957,at least 2,None,"Spark, Hadoop"
req09958,2+,Bachelor's,"Scala, Python, Hadoop, Leadership, SQL"
req09959,2+,None,"SQL, Leadership"
req09960,2+,None,"SQL, Tableau, Hadoop"
req09961,None,B.Sc.,"Communication, Python, Hadoop"
req09962,None,B.Sc.,"R, Spark, Python"
req09963,None,B.Sc.,"Python, Excel, Communication, Hadoop"
req09964,at least 2,B.Sc.,"Scala, Spark, Tableau, Hadoop"
req09965,1 year,PhD,"Python, R, Excel, SQL, Tableau"
req09966,3-5 yrs,None,"Hadoop, Excel"
req09967,2+,B.Sc.,"Python, Hadoop"
req09968,2+,B.Sc.,"R, Leadership, Hadoop, Communication"
req09969,1 year,Bachelor's,"Hadoop, Excel, Scala, Spark, Communication"
req09970,at least 2,None,"PowerBI, Spark, SQL"
req09971,1 year,BS,"Excel, Hadoop, Communication, Spark, SQL"
req09972,1 year,BS,"SQL, Python"
req09973,2+,PhD,"Leadership, Hadoop"
req09974,1 year,B.Sc.,"Tableau, Communication, Python, Spark, Hadoop"
req09975,at least 2,Bachelor's,"Spark, Leadership"
req09976,1 year,MSc,"R, Excel, Python, Hadoop, SQL"
req09977,3-5 yrs,PhD,"Hadoop, Spark, Python, Scala"
req09978,2+,Bachelor's,"R, SQL"
req09979,at least 2,BS,"R, Excel"
req09980,None,None,"Scala, Tableau, PowerBI"
req09981,at least 2,MSc,"PowerBI, Leadership"
req09982,3-5 yrs,B.Sc.,"Excel, Hadoop, Scala, Leadership, R"
req09983,1 year,Bachelor's,"Hadoop, SQL, Scala, Spark"
req09984,None,Bachelor's,"Scala, PowerBI, SQL"
req09985,3-5 yrs,None,"Scala, Hadoop, PowerBI"
req09986,2+,Bachelor's,"Python, Excel"
req09987,2+,Bachelor's,"Hadoop, Leadership, Excel, Communication, Python"
req09988,at least 2,Bachelor's,"Leadership, Python, Tableau, Communication"
req09989,2+,B.Sc.,"Python, Tableau, Communication, Spark"
req09990,3-5 yrs,BS,"Scala, Spark, R, Python"
req09991,1 year,PhD,"Leadership, Communication, SQL"
req09992,at least 2,MSc,"Leadership, Tableau"
req09993,3-5 yrs,B.Sc.,"PowerBI, Tableau, R, Spark, SQL"
req09994,None,B.Sc.,"Hadoop, PowerBI, Leadership, Tableau, SQL"
req09995,1 year,PhD,"Communication, Hadoop, Leadership, SQL"
req09996,None,PhD,"Leadership, SQL, Communication, Tableau, Scala"
req09997,at least 2,B.Sc.,"Communication, SQL, Leadership"
req09998,None,MSc,"Tableau, Scala, Communication, Spark"
req09999,2+,None,"Spark, Python, R, Excel"
req10000,at least 2,PhD,"Scala, Spark"
req10001,at least 2,Bachelor's,"Communication, Tableau"
req10002,None,B.Sc.,"Scala, PowerBI"
req10003,None,Bachelor's,"Scala, SQL"
req10004,1 year,B.Sc.,"Hadoop, SQL, Spark"
req10005,at least 2,BS,"Leadership, Hadoop, PowerBI, Excel"
req10006,1 year,MSc,"PowerBI, Hadoop, SQL"
req10007,at least 2,BS,"Hadoop, R, Excel, Spark, Scala"
req10008,3-5 yrs,MSc,"Communication, Excel, SQL, Spark"
req10009,2+,BS,"PowerBI, R, Tableau, Excel"
req10010,1 year,BS,"Hadoop, PowerBI, R, Communication, Leadership"
req10011,at least 2,None,"SQL, Scala, Tableau"
req10012,3-5 yrs,MSc,"Spark, Leadership, Scala, Tableau, Python"
req10013,2+,None,"Leadership, Scala, SQL, Communication, Python"
req10014,at least 2,B.Sc.,"Leadership, Hadoop, PowerBI, Python"
req10015,3-5 yrs,B.Sc.,"Python, Spark"
req10016,1 year,B.Sc.,"Tableau, Spark"
req10017,at least 2,PhD,"PowerBI, Leadership"
req10018,at least 2,BS,"Spark, Leadership, Scala, Python"
req10019,at least 2,B.Sc.,"SQL, Tableau, PowerBI, Scala"
req10020,None,MSc,"Hadoop, R"
req10021,3-5 yrs,None,"Tableau, Spark, Scala, R, PowerBI"
req10022,2+,None,"Python, Hadoop, Leadership"
req10023,3-5 yrs,PhD,"Tableau, Python, R, PowerBI, Scala"
req10024,1 year,PhD,"Communication, Python, PowerBI, Leadership"
req10025,1 year,Bachelor's,"Communication, PowerBI, Scala, Python"
req10026,None,B.Sc.,"PowerBI, Communication, Leadership, SQL, Spark"
req10027,1 year,BS,"Python, SQL"
req10028,at least 2,Bachelor's,"Tableau, R, Hadoop, Leadership, Communication"
req10029,3-5 yrs,PhD,"R, Python, Spark, Leadership, SQL"
req10030,None,None,"Leadership, Scala, Hadoop, SQL, PowerBI"
req10031,None,BS,"Scala, Tableau, SQL, Leadership, Excel"
req10032,at least 2,None,"R, Leadership, Communication"
req10033,None,BS,"Scala, Hadoop"
req10034,at least 2,Bachelor's,"Scala, Spark, Hadoop"
req10035,1 year,None,"Tableau, SQL, Spark, Scala"
req10036,1 year,None,"Communication, Hadoop, R"
req10037,None,BS,"SQL, Spark, Tableau, R, Leadership"
req10038,at least 2,Bachelor's,"Hadoop, SQL, Python, Tableau, PowerBI"
req10039,at least 2,B.Sc.,"Communication, Excel"
req10040,3-5 yrs,MSc,"Leadership, SQL"
req10041,at least 2,Bachelor's,"Leadership, Python, Spark, SQL, Communication"
req10042,at least 2,PhD,"R, Scala, SQL, Communication"
req10043,3-5 yrs,MSc,"SQL, Communication"
req10044,2+,None,"Python, SQL, Communication"
req10045,1 year,MSc,"SQL, PowerBI, Communication"
req10046,at least 2,None,"PowerBI, Communication"
req10047,2+,BS,"Excel, Python"
req10048,at least 2,MSc,"Leadership, Hadoop"
req10049,None,MSc,"Tableau, Scala, Communication, SQL, Python"
req10050,at least 2,BS,"Communication, Scala, SQL, R, PowerBI"
req10051,1 year,Bachelor's,"Tableau, PowerBI, SQL"
req10052,at least 2,PhD,"SQL, R"
req10053,at least 2,Bachelor's,"Scala, PowerBI, Leadership, Python"
req10054,None,BS,"Leadership, Python"
req10055,None,Bachelor's,"R, Leadership, Python"
req10056,None,PhD,"PowerBI, Tableau"
req10057,3-5 yrs,BS,"Spark, Communication, Scala, SQL, Leadership"
req10058,3-5 yrs,B.Sc.,"PowerBI, R, Spark"
req10059,1 year,None,"Excel, Leadership, PowerBI"
req10060,3-5 yrs,B.Sc.,"Python, Spark, Excel"
req10061,3-5 yrs,Bachelor's,"Scala, Communication, Spark, Python"
req10062,1 year,PhD,"Leadership, Excel, Spark, Communication"
req10063,2+,B.Sc.,"SQL, Tableau, PowerBI, Leadership"
req10064,2+,Bachelor's,"Hadoop, Spark"
req10065,None,MSc,"Excel, SQL, Communication, Spark"
req10066,None,MSc,"Scala, Python, Hadoop, SQL, Leadership"
req10067,2+,Bachelor's,"SQL, Tableau, R, Hadoop, Excel"
req10068,at least 2,B.Sc.,"PowerBI, Spark, Leadership, R, SQL"
req10069,2+,B.Sc.,"Leadership, PowerBI, Scala, Tableau, Hadoop"
req10070,3-5 yrs,BS,"Excel, Leadership, R, Communication"
req10071,at least 2,B.Sc.,"Communication, Python"
req10072,3-5 yrs,Bachelor's,"Communication, Leadership, Python"
req10073,2+,PhD,"Python, Scala, Excel, Leadership"
req10074,at least 2,PhD,"R, Scala, Spark"
req10075,at least 2,BS,"Scala, Communication, Python"
req10076,at least 2,PhD,"Hadoop, Python"
req10077,None,B.Sc.,"Python, Leadership, Excel, Tableau"
req10078,1 year,PhD,"Hadoop, PowerBI, Scala, Excel, SQL"
req10079,2+,Bachelor's,"PowerBI, Tableau"
req10080,None,PhD,"Leadership, Communication, PowerBI"
req10081,None,BS,"SQL, Scala, Leadership"
req10082,3-5 yrs,B.Sc.,"Python, Scala, Communication, Spark"
req10083,at least 2,B.Sc.,"Tableau, Excel, Scala"
req10084,1 year,B.Sc.,"Hadoop, Excel, R"
req10085,3-5 yrs,PhD,"Python, Scala"
req10086,3-5 yrs,PhD,"Communication, PowerBI, Hadoop"
req10087,3-5 yrs,Bachelor's,"Tableau, Leadership, Python"
req10088,3-5 yrs,PhD,"R, Hadoop, Scala, Communication, Tableau"
req10089,3-5 yrs,B.Sc.,"Tableau, Excel, R, Scala"
req10090,1 year,Bachelor's,"Python, PowerBI"
req10091,1 year,PhD,"R, Communication, Spark, Scala, SQL"
req10092,at least 2,BS,"Tableau, PowerBI, Spark"
req10093,3-5 yrs,B.Sc.,"Scala, Communication, R, Leadership"
req10094,3-5 yrs,MSc,"R, Hadoop, Excel"
req10095,None,MSc,"R, Excel, Tableau"
req10096,3-5 yrs,B.Sc.,"Scala, SQL, Communication, Tableau"
req10097,None,BS,"Scala, Spark, SQL"
req10098,2+,PhD,"Excel, Communication"
req10099,None,B.Sc.,"Leadership, Python, Excel, Tableau"
req10100,None,PhD,"Excel, Python, Leadership"
req10101,2+,None,"Excel, Scala, PowerBI"
req10102,1 year,MSc,"Scala, Python"
req10103,3-5 yrs,Bachelor's,"Hadoop, R"
req10104,at least 2,None,"R, Communication, Excel, Spark"
